id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13098324,Nice apartment in two levels,60219699,Eugene,,Stadspark,51.20807,4.41513,Entire home/apt,46,1,0,,,1,362
13110845,Authentic Antwerp house,56580664,Steve,,Harmonie,51.20769,4.40526,Private room,45,2,12,2016-08-30,0.37,2,0
13138905,Bright green flat,3692129,Masa,,Eilandje,51.2335,4.40367,Entire home/apt,90,7,0,,,1,0
13168485,Cosy apartment in the trendy south of Antwerp!,6776640,Jens,,Brederode,51.2063,4.39887,Entire home/apt,60,2,13,2017-06-04,0.42,1,28
13189346,Beautiful Light Apartment in Trendy South Quarter,1935190,Linda,,Zuid,51.2109,4.39788,Entire home/apt,85,2,0,,,1,122
13215436,welcome to your second home!,41185186,Soun,,Universiteitsbuurt,51.2228,4.41577,Private room,45,2,0,,,1,0
13221024,Authentic Antwerpe house 1p,56580664,Steve,,Harmonie,51.20947,4.40645,Private room,20,1,12,2016-09-24,0.37,2,0
13228969,Number 22 Antwerp Loft,6068286,Frederic Luca,,Zuid,51.21036,4.40108,Entire home/apt,115,1,71,2018-11-18,2.21,2,363
13263169,Modern woonhuis stadstuin Antwerpen Kiel + Fietsen,28086961,Kim,,Kiel,51.18994,4.37597,Entire home/apt,65,50,29,2017-11-18,0.95,1,89
13289664,Sunny cosy apartment in Antwerpen Zuid,1621883,Yole,,Zuid,51.20791,4.39135,Entire home/apt,28,14,1,2017-07-31,0.05,1,0
13306153,Romantic room with walk in shower & bubble bath...,4586965,Marie,,Valaar,51.18137,4.38893,Private room,45,1,30,2018-10-21,0.91,2,360
13307552,Spacious room in 100y house near central station,71453503,Jasper,,Borgerhout Intra Muros Zuid,51.21312,4.43319,Private room,35,1,89,2019-02-10,9.64,1,244
13336751,Relaxing apartment with great view near citycentre,75523394,Burak,,Nieuwdreef,51.24358,4.43553,Entire home/apt,75,1,13,2016-12-21,0.42,1,0
13350400,new very bright studio in the centre of Antwerp,32949554,Stéphane En Anneke,,Stadspark,51.21131,4.40808,Entire home/apt,70,2,74,2019-01-05,2.27,1,328
13354116,Penthouse near Central Station,15791392,Thierry,,Borgerhout Intra Muros Noord,51.21556,4.43742,Entire home/apt,80,5,0,,,1,0
13357371,Studio (private bathroom + kitchen),65020593,Han,,Stuivenberg,51.22025,4.43633,Entire home/apt,39,2,192,2019-02-10,5.99,1,317
13372879,"Renovated, spacious & cosy apartment in Antwerp",12108305,Stéphanie,,Tentoonstellingswijk,51.19185,4.39205,Entire home/apt,74,1,42,2019-02-02,1.36,1,210
13384582,Resid Leguit Ap4 -hist center,19769241,Isabel,,Historisch Centrum,51.2253,4.40249,Private room,60,2,0,,,5,0
13405638,Resid Leguit Ap5 - historical centre,19769241,Isabel,,Historisch Centrum,51.22671,4.40418,Entire home/apt,69,2,0,,,5,0
13420404,Mechelsesteenweg,76491763,Joris,,Harmonie,51.20793,4.40853,Private room,60,1,0,,,1,0
13422873,@CoucheCouche The Eclectic Mix,76511428,Kris,,Borgerhout Intra Muros Noord,51.21724,4.43485,Entire home/apt,100,1,42,2018-12-24,1.30,1,322
13423837,Heart of Antwerp Sunlight Studio,2188053,Hua,,Historisch Centrum,51.22012,4.39963,Entire home/apt,55,1,204,2019-01-10,6.26,2,171
13424343,@Couche CoucheThe Eclectic Mix,54177818,Kris,,Borgerhout Intra Muros Noord,51.21735,4.43383,Entire home/apt,100,1,3,2017-08-04,0.10,1,339
13426813,Charming studio in Antwerp,27585607,Christel,,Amandus - Atheneum,51.22531,4.42217,Entire home/apt,50,2,157,2019-01-28,4.86,2,138
13427359,Stylish and bright 19th century loft with terrace,6930093,"Ian, Jande En Marie",,Borgerhout Intra Muros Noord,51.21615,4.43392,Entire home/apt,161,2,96,2019-01-25,3.09,2,268
13431851,Nice studio in heart of Antwerp,76602212,Roxy,,Historisch Centrum,51.22233,4.4039,Entire home/apt,50,1,1,2016-07-17,0.03,1,0
13431990,Cosy room with private bathroom!,76605886,Jeroen,,Kiel,51.18954,4.37624,Private room,17,1,193,2019-01-27,5.98,1,115
13438024,Cosy one person room with private terrace!,24520343,Ingeborg,,Groenenhoek,51.19987,4.44399,Private room,29,1,25,2018-11-17,2.40,3,168
13443732,MUSEUMHouse Le Prince d'Anvers In the clouds,6068286,Frederic Luca,,Universiteitsbuurt,51.22115,4.4055,Entire home/apt,105,1,16,2018-03-04,0.49,2,365
13457478,Bright & quiet apartment near Central Station (2),9697887,Ken,,Borgerhout Intra Muros Noord,51.21671,4.42998,Entire home/apt,59,2,120,2019-02-10,3.77,1,60
13463319,Spacious & light 2 bedroom apartment with garden,61749084,Karmen,,Deurne Zuid West,51.20633,4.46157,Entire home/apt,55,1,18,2016-10-17,0.56,1,0
13492067,"Cosy room in shared house, Berchem",23259332,Marieke,,Oud - Berchem,51.19731,4.42236,Private room,34,1,0,,,1,0
13502762,Location with a view & South terrace,59130377,Ruud&Valérie,,Borgerhout Intra Muros Noord,51.2155,4.44146,Entire home/apt,50,5,19,2018-08-26,0.61,1,180
13507479,Beautiful & bright apartment in residential area.,14414211,Tim,,Markgrave,51.20105,4.40094,Entire home/apt,46,3,6,2018-01-21,0.20,1,0
13507619,"Quiet room in the city centre,",76538613,Lilie,,Theaterbuurt-Meir,51.21298,4.4071,Private room,45,2,6,2017-08-21,0.20,1,0
13527996,Spacious bedroom with private bathroom in Berchem,31210879,Evy &  Dimitri,,Oud - Berchem,51.19892,4.42948,Private room,35,2,57,2018-12-16,2.02,1,254
13539013,Nice appartment near Antwerp Airport,19100247,Jessie,,Borgerhout Extra Muros,51.19848,4.44849,Entire home/apt,65,3,0,,,1,0
13553196,Zurenbourg Charming 14,34416465,Ima,,Zurenborg,51.20634,4.42807,Entire home/apt,80,1,22,2019-02-03,0.71,40,194
13569253,Your comfy spot in Antwerp’s shopping district,34913046,Laila,,Universiteitsbuurt,51.22007,4.40763,Entire home/apt,89,2,12,2019-01-05,0.37,6,351
13584610,Spacious & bright room with private bathroom,32004216,Katrien,,Borgerhout Intra Muros Noord,51.21898,4.44285,Private room,35,2,99,2018-12-26,3.20,1,19
13584722,Light an Charming Room in a House with Garden,73380435,Zehra,,Oud - Berchem,51.19789,4.42558,Private room,20,1,1,2016-07-24,0.03,1,0
13585176,Heart of Antwerp - Modern & Bright Apartment,78437897,Yavor,,Universiteitsbuurt,51.22103,4.41379,Entire home/apt,109,1,62,2019-02-11,1.96,1,67
13585259,Cosy and sweet apartment in the heart of Antwerp,78436787,Joyce,,Historisch Centrum,51.21996,4.39889,Entire home/apt,53,2,3,2017-03-19,0.09,1,0
13595225,bright family home close to city center,20353244,Stien,,Deurne Zuid West,51.2075,4.45515,Entire home/apt,75,2,1,2016-07-28,0.03,1,0
13601093,Private room near city center,64643964,Klaas,,Stuivenberg,51.2211,4.42958,Private room,40,1,220,2019-02-11,6.83,3,46
13616722,Room in Antwerp for rent in a beautiful house,21434961,Francesca,,Brederode,51.2016,4.39899,Private room,16,6,1,2016-07-18,0.03,1,0
13640722,Modern & bright apartment near Eilandje with P,3042153,Hannes,,Eilandje,51.23077,4.41387,Entire home/apt,70,1,98,2019-02-08,6.93,1,319
13665527,Super cosy apartment in city centre!!,62989806,Gary,,Theaterbuurt-Meir,51.20949,4.40337,Private room,26,1,58,2019-01-02,1.89,2,48
13670107,Privé kamer te huur met badkamer & keuken + terras,77953413,Stefan En Eva,,Borgerhout Intra Muros Zuid,51.20905,4.43409,Private room,43,21,20,2018-08-19,0.67,2,86
13722848,Asian Suite,38724058,Anatoly,,Brederode,51.20534,4.40196,Entire home/apt,129,1,9,2018-10-07,0.38,2,87
13729140,"Characterful room, private bathroom, near center",14649125,Bart,,Sint-Andries,51.21785,4.39701,Private room,45,1,9,2016-11-13,0.30,1,0
13730684,"Apartment in Antwerp, Trendy South (Marnix)",79410316,Nanouck,,Zuid,51.21081,4.39649,Entire home/apt,150,1,11,2017-04-23,0.39,2,0
13738103,Ben's sunny crib,53476003,Ben,,Stuivenberg,51.22398,4.42754,Entire home/apt,47,1,22,2018-04-07,0.70,1,0
13799108,"Spacious light modern, Central station, Zurenborg",78782749,Luc,,Borgerhout Intra Muros Zuid,51.21035,4.43221,Entire home/apt,115,20,22,2018-11-01,0.71,1,334
13852131,*Our zen spot in the city center. Quiet&authentic*,44408312,Orlando,,Harmonie,51.20532,4.40749,Entire home/apt,59,1,66,2019-01-27,3.74,1,76
13897013,Central and modern flat next to The JANE,10378355,Isabeau,,Oud - Berchem,51.19999,4.42709,Entire home/apt,105,1,8,2017-07-23,0.25,1,0
13897066,Cosy private studio in the citycenter of Antwerp,59203536,Gregory,,Historisch Centrum,51.22216,4.39923,Entire home/apt,45,2,1,2016-07-23,0.03,1,0
13897583,Family home between parks is waiting for you!,10972397,Ann,,Borgerhout Extra Muros,51.20008,4.45596,Entire home/apt,50,6,3,2017-07-26,0.10,1,0
13903340,Appartement centrum Antwerpen,82427836,Marc,,Historisch Centrum,51.21841,4.39972,Entire home/apt,90,1,0,,,1,0
13937329,Appartement/Loft met tuintje,16899855,Margaux,,Haringrode,51.20208,4.42033,Entire home/apt,65,2,2,2016-08-05,0.06,1,0
13956746,1 room 1p/2p in our beautiful house,13232343,Joost And Sophie,,Zuid,51.20619,4.39103,Private room,35,1,15,2019-01-27,0.48,1,140
13958377,Beautiful Studio in Antwerp City Centre,63123423,Benjamin,,Universiteitsbuurt,51.22366,4.40641,Entire home/apt,59,2,7,2017-07-23,0.22,1,0
13966852,Studio Antwerp city center,83251687,Niki,,Universiteitsbuurt,51.22127,4.41339,Private room,50,2,1,2016-08-08,0.03,1,0
13971962,Charmant herenhuis in Antwerpen,67860075,Anne,,Zurenborg,51.20663,4.43005,Entire home/apt,119,1,124,2019-02-10,4.04,1,327
14028497,Cosy Room in Berchem,83908493,Dan,,Oud - Berchem,51.19786,4.42501,Private room,18,2,2,2016-09-04,0.07,1,304
14060986,Little cosy house in magical place.,17124778,Ines,,Deurne Dorp - Gallifort,51.22001,4.45877,Entire home/apt,49,1,15,2017-09-30,0.49,1,140
14098085,"Spacious and light apartment near ""Zuid"" area",3386994,Kim & Greg,,Stadspark,51.20956,4.41243,Entire home/apt,85,3,3,2018-07-29,0.10,1,76
14099120,A Parisian flavor in the South of Antwerp,15056112,Matthias,,Zuid,51.20715,4.39068,Entire home/apt,81,2,17,2018-07-22,0.56,1,0
14116760,"Fancy penthouse, hart of Berchem.",6890762,Marieke,,Oud - Berchem,51.20015,4.42658,Entire home/apt,60,14,1,2016-09-26,0.03,1,0
14147454,Rooftop Apartment Antwerp City Centre,85451540,Marianne,,Amandus - Atheneum,51.22389,4.42018,Entire home/apt,50,2,37,2019-01-03,1.25,2,20
14162292,Centrally located appartment (+ free parking),6546134,Dennis,,Centraal Station,51.21478,4.42447,Entire home/apt,59,2,24,2018-10-03,1.39,1,0
14182545,Smallest house of Antwerp (in the city center),4266994,Tim,,Historisch Centrum,51.2233,4.40285,Entire home/apt,60,2,156,2019-01-21,5.08,1,341
14190171,cosy apt. in trendy south,8704178,Karolien,,Brederode,51.20594,4.3951,Entire home/apt,48,1,11,2017-10-01,0.36,1,0
14191549,Centrally located bright & spacious apartment,3220882,Sven,,Amandus - Atheneum,51.22313,4.41896,Entire home/apt,60,3,8,2018-12-17,0.26,1,82
14213309,"Bright, spacious apartment with wifi and elevator",86306275,Pieter,,Markgrave,51.1965,4.40582,Entire home/apt,250,1,11,2019-01-27,0.36,24,346
14213629,Cosy place in the centre of Antwerp,19218121,Quinten,,Stuivenberg,51.22437,4.42867,Shared room,20,1,16,2017-09-26,0.52,1,0
