id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11416666,20 minutes FROM City and airport with Breakfast!,59766997,Jacinta & David,,Dublin City,53.37636,-6.22326,Private room,35,2,82,2018-11-18,2.32,2,11
11417029,T&T (Trinity & Temple Bar) Cosy Apt,1107016,Joe,,Dublin City,53.34505,-6.25102,Entire home/apt,100,1,59,2018-03-18,1.65,2,0
11417515,Cosy home ten mins from city centre,6014891,Ben,,Dublin City,53.36696,-6.24058,Entire home/apt,350,2,1,2016-03-20,0.03,1,0
11418545,TEMPLE BAR-CITY CENTRE,59959560,Cedric,,Dublin City,53.3477,-6.26099,Entire home/apt,430,4,0,,,1,0
11419583,Compact Apartment with all Mod Cons,59969726,Rebecca,,Dublin City,53.39228,-6.23323,Entire home/apt,80,2,150,2019-02-10,4.67,1,227
11425524,Fabulous Ballsbridge apartment near UCD/ROS,23658985,Philip & Fíona,,Dublin City,53.32182,-6.23008,Entire home/apt,128,3,90,2018-12-31,2.61,2,205
11428580,Apartment in charming seaside area,9609243,Svetlana,,Dn Laoghaire-Rathdown,53.28676,-6.12986,Entire home/apt,100,2,17,2019-01-02,0.50,1,135
11430686,Double En Suite Central Location,40785504,Jennifer,,Dublin City,53.33579,-6.23695,Private room,70,3,68,2019-01-28,1.91,1,47
11436734,Private room & bathroom in Ranelagh,59581527,Ronan,,Dublin City,53.32635,-6.25451,Private room,99,2,0,,,2,0
11439644,Cosy gaff (house) in Dublin 8!,28736039,Daragh,,Dublin City,53.33841,-6.33051,Entire home/apt,80,5,10,2018-11-14,0.30,1,0
11445668,Family apt in charming Sandymount,54325582,Maeve,,Dublin City,53.33181,-6.22406,Private room,200,3,0,,,1,89
11448467,Georgian Apartment. City Center,41902728,Everina,,Dublin City,53.33436,-6.26702,Entire home/apt,200,2,149,2019-01-27,4.21,2,245
11449146,Stylish 1x bed with private patio,60192550,Stephen,,Dublin City,53.33247,-6.2654,Entire home/apt,150,1,43,2018-10-29,1.25,10,0
11467986,The Orchard,2266962,Mark,,Dn Laoghaire-Rathdown,53.27013,-6.17602,Entire home/apt,105,1,1,2016-07-16,0.03,1,0
11470909,"Double Room, Mt Brown, Dublin City",60351055,Dino,,Dublin City,53.34057,-6.29527,Private room,37,2,4,2016-05-02,0.12,1,0
11479067,Double Room in The Heart of Dublin,60404124,Aline,,Dublin City,53.3384,-6.27714,Private room,55,2,151,2018-09-20,4.26,2,0
11485089,Dundrum Shopping Center -Dublin,60378658,Fathy,,Dn Laoghaire-Rathdown,53.28663,-6.23953,Entire home/apt,68,12,5,2017-07-21,0.15,1,0
11486436,Beautiful & sunny art-filled city centre apartment,13267106,Sophie,,Dublin City,53.34189,-6.22542,Entire home/apt,69,3,7,2017-11-30,0.26,1,0
11495220,DELIGHTFUL 3BD-3BTH D4 RDS/AVIVA WITH FREE PARKING,211284,Deniz,,Dublin City,53.32928,-6.2117,Entire home/apt,120,2,161,2019-01-27,4.53,5,29
11496169,Double room in the heart of Dublin,41884859,Nathalia,,Dublin City,53.35005,-6.27069,Private room,60,2,0,,,1,0
11502727,Studio apartment  Grand Canal Dock,18801526,Carmel,,Dublin City,53.34262,-6.23588,Entire home/apt,95,3,120,2019-02-08,3.39,2,14
11503781,House in the Heart of the City - 15 mins TempleBar,31670520,Liam,,Dublin City,53.35617,-6.26637,Entire home/apt,117,2,49,2019-01-26,5.63,2,199
11506495,It's a family and gay-friendly,60618929,Andris,,Dublin City,53.31572,-6.31156,Private room,45,1,7,2017-04-18,0.20,3,0
11508188,Central double bedroom & private Bathroom,60631099,Emma,,Dublin City,53.33699,-6.23934,Private room,77,2,39,2018-11-19,1.10,1,39
11520349,Central Penthouse 360° Terrace View!,60731721,Roberto And Marta,,Dublin City,53.3517,-6.2627,Entire home/apt,140,2,9,2019-01-01,0.27,2,55
11521523,A 4 bed house close to the sea and city centre,29578612,Patricia,,Dn Laoghaire-Rathdown,53.30932,-6.20436,Shared room,139,1,13,2018-07-17,0.40,1,0
